"Date","GasEUR/MWH","LightEUR/MWH"
2019-07-20,13.37,50.59
2019-07-21,13.23,49.3
2019-07-22,15.01,56.13
2019-07-23,14.55,55.03
2019-07-24,13.98,55.83
2019-07-25,13.66,53.67
2019-07-26,13.21,52.34
2019-07-27,11.71,45.94
2019-07-28,11.55,45.59
2019-07-29,12.38,47.97
2019-07-30,12.29,48.03
2019-07-31,11.74,47.11
2019-08-01,12.75,48.21
2019-08-02,13.18,48.85
2019-08-03,12.80,47.41
2019-08-04,12.81,46.41
2019-08-05,13.53,50.27
2019-08-06,13.47,49.97
2019-08-07,13.32,49.46
2019-08-08,12.95,47.89
2019-08-09,12.53,43.95
2019-08-10,12.33,46.19
2019-08-11,11.83,42.48
2019-08-12,11.84,43.59
2019-08-13,11.67,42.95
2019-08-14,11.67,45.7
2019-08-15,11.38,40.78
2019-08-16,11.52,44.48
2019-08-17,11.16,41.91
2019-08-18,10.90,38.88
2019-08-19,10.93,41.48
2019-08-20,10.63,40.03
2019-08-21,10.82,41.11
2019-08-22,11.11,41.0
2019-08-23,11.30,41.41
2019-08-24,10.91,42.14
2019-08-25,10.75,39.28
2019-08-26,11.80,43.18
2019-08-27,13.03,50.31
2019-08-28,13.19,51.19
2019-08-29,13.27,50.07
2019-08-30,13.25,49.39
2019-08-31,11.44,43.84
2019-09-01,10.82,39.32
2019-09-02,10.75,39.28
2019-09-03,11.49,43.49
2019-09-04,10.84,43.39
2019-09-05,9.64,37.37
2019-09-06,9.13,36.3
2019-09-07,8.44,32.97
2019-09-08,8.93,34.39
2019-09-09,10.94,43.58
2019-09-10,10.24,34.32
2019-09-11,10.07,34.39
2019-09-12,10.35,38.5
2019-09-13,11.29,38.94
2019-09-14,10.86,37.23
2019-09-15,11.00,38.06
2019-09-16,14.11,47.98
2019-09-17,14.73,50.4
2019-09-18,14.58,50.24
2019-09-19,14.57,50.61
2019-09-20,13.72,48.5
2019-09-21,11.35,39.86
2019-09-22,11.38,37.76
2019-09-23,12.72,45.7
2019-09-24,13.19,42.99
2019-09-25,13.52,44.01
2019-09-26,13.81,48.54
2019-09-27,14.33,48.56
2019-09-28,13.30,45.68
2019-09-29,13.23,42.07
2019-09-30,13.95,49.37
2019-10-01,12.69,47.33
2019-10-02,11.91,43.42
2019-10-03,12.43,48.29
2019-10-04,13.61,52.74
2019-10-05,13.16,49.07
2019-10-06,12.93,45.24
2019-10-07,14.71,50.5
2019-10-08,14.37,54.31
2019-10-09,13.87,47.89
2019-10-10,12.85,46.96
2019-10-11,12.00,48.46
2019-10-12,12.06,39.22
2019-10-13,12.01,37.97
2019-10-14,12.16,42.42
2019-10-15,13.10,43.03
2019-10-16,13.41,43.24
2019-10-17,13.58,47.09
2019-10-18,13.02,46.08
2019-10-19,12.36,43.36
2019-10-20,12.70,41.45
2019-10-21,13.52,54.34
2019-10-22,14.08,49.4
2019-10-23,13.99,45.78
2019-10-24,13.72,45.58
2019-10-25,13.31,48.8
2019-10-26,12.93,45.86
2019-10-27,13.05,46.11
2019-10-28,13.89,53.75
2019-10-29,13.99,53.9
2019-10-30,13.59,51.96
2019-10-31,11.98,49.26
2019-11-01,9.04,32.84
2019-11-02,9.13,28.44
2019-11-03,8.84,18.88
2019-11-04,7.80,28.48
2019-11-05,10.06,29.62
2019-11-06,12.17,40.64
2019-11-07,12.20,39.3
2019-11-08,12.72,37.59
2019-11-09,12.64,40.92
2019-11-10,12.59,37.27
2019-11-11,14.70,44.74
2019-11-12,14.55,47.93
2019-11-13,14.42,47.89
2019-11-14,14.31,45.46
2019-11-15,14.57,48.19
2019-11-16,14.34,45.75
2019-11-17,13.96,43.34
2019-11-18,15.69,50.01
2019-11-19,15.87,57.49
2019-11-20,16.15,57.85
2019-11-21,15.79,55.42
2019-11-22,14.74,46.3
2019-11-23,13.63,37.75
2019-11-24,13.75,41.02
2019-11-25,15.48,47.04
2019-11-26,15.40,44.5
2019-11-27,14.98,42.03
2019-11-28,14.64,40.21
2019-11-29,15.26,47.53
2019-11-30,14.06,41.36
2019-12-01,14.52,43.29
2019-12-02,14.76,44.81
2019-12-03,15.28,50.02
2019-12-04,15.08,53.89
2019-12-05,14.36,47.61
2019-12-06,13.94,47.67
2019-12-07,13.82,47.26
2019-12-08,13.20,41.0
2019-12-09,13.40,41.36
2019-12-10,13.45,46.6
2019-12-11,13.50,43.21
2019-12-12,12.94,38.58
2019-12-13,12.45,27.17
2019-12-14,11.83,28.03
2019-12-15,11.73,26.06
2019-12-16,12.17,39.98
2019-12-17,12.68,42.75
2019-12-18,12.07,38.22
2019-12-19,10.64,22.26
2019-12-20,9.85,17.43
2019-12-21,10.09,2.3
2019-12-22,10.24,1.81
2019-12-23,9.86,23.4
2019-12-24,9.23,20.96
2019-12-25,8.95,14.24
2019-12-26,8.38,25.41
2019-12-27,9.09,32.72
2019-12-28,10.07,31.09
2019-12-29,11.59,31.79
2019-12-30,12.64,36.73
2019-12-31,11.80,38.28
2020-01-01,11.27,35.54
2020-01-02,11.61,39.99
2020-01-03,11.68,39.51
2020-01-04,11.77,35.69
2020-01-05,11.77,38.18
2020-01-06,11.99,42.17
2020-01-07,13.34,46.77
2020-01-08,14.48,46.76
2020-01-09,13.56,44.22
2020-01-10,12.15,40.55
2020-01-11,11.61,41.84
2020-01-12,11.87,42.36
2020-01-13,13.12,46.49
2020-01-14,12.03,38.68
2020-01-15,11.55,38.45
2020-01-16,11.41,38.2
2020-01-17,11.29,39.4
2020-01-18,11.10,38.3
2020-01-19,10.99,29.76
2020-01-20,11.48,35.32
2020-01-21,12.18,38.92
2020-01-22,13.06,46.56
2020-01-23,13.70,53.48
2020-01-24,13.45,53.32
2020-01-25,11.65,48.18
2020-01-26,11.20,40.01
2020-01-27,11.36,39.34
2020-01-28,10.91,38.47
2020-01-29,10.83,39.77
2020-01-30,10.43,37.95
2020-01-31,9.42,37.23
2020-02-01,9.48,29.23
2020-02-02,9.32,28.71
2020-02-03,10.21,40.66
2020-02-04,9.50,37.82
2020-02-05,10.10,36.79
2020-02-06,10.31,38.63
2020-02-07,10.13,39.87
2020-02-08,9.92,39.05
2020-02-09,9.70,30.2
2020-02-10,9.70,31.86
2020-02-11,9.88,41.99
2020-02-12,10.06,44.28
2020-02-13,9.90,38.23
2020-02-14,10.14,41.74
2020-02-15,9.33,35.3
2020-02-16,9.17,25.17
2020-02-17,9.53,35.94
2020-02-18,10.06,38.23
2020-02-19,11.12,42.76
2020-02-20,10.96,42.53
2020-02-21,10.85,39.29
2020-02-22,10.00,39.72
2020-02-23,10.00,36.5
2020-02-24,10.24,41.62
2020-02-25,9.21,32.78
2020-02-26,9.14,31.97
2020-02-27,9.01,31.14
2020-02-28,8.98,34.02
2020-02-29,8.75,16.6
2020-03-01,8.70,14.22
2020-03-02,8.44,21.89
2020-03-03,8.74,26.14
2020-03-04,8.96,32.6
2020-03-05,8.89,25.15
2020-03-06,8.89,21.64
2020-03-07,8.67,27.73
2020-03-08,8.77,27.17
2020-03-09,9.25,32.52
2020-03-10,9.03,34.66
2020-03-11,9.23,38.63
2020-03-12,9.26,38.78
2020-03-13,9.26,34.3
2020-03-14,9.13,35.59
2020-03-15,9.16,26.84
2020-03-16,10.09,27.02
2020-03-17,9.66,28.43
2020-03-18,9.08,30.69
2020-03-19,8.59,30.43
2020-03-20,8.03,28.08
2020-03-21,7.88,27.65
2020-03-22,8.16,27.53
2020-03-23,8.64,29.04
2020-03-24,8.62,27.41
2020-03-25,8.31,31.59
2020-03-26,7.54,22.92
2020-03-27,7.59,25.07
2020-03-28,7.35,27.94
2020-03-29,7.29,20.05
2020-03-30,7.09,19.12
2020-03-31,7.15,20.55
2020-04-01,8.14,26.2
2020-04-02,9.95,23.9
2020-04-03,8.29,23.84
2020-04-04,7.66,16.24
2020-04-05,7.63,8.16
2020-04-06,8.18,24.83
2020-04-07,8.06,22.54
2020-04-08,8.12,23.62
2020-04-09,8.05,22.32
2020-04-10,8.36,19.37
2020-04-11,8.14,22.02
2020-04-12,8.14,17.82
2020-04-13,8.43,22.26
2020-04-14,8.60,21.95
2020-04-15,8.07,17.66
2020-04-16,7.89,12.73
2020-04-17,7.24,14.54
2020-04-18,7.06,21.49
2020-04-19,7.06,13.3
2020-04-20,7.10,11.12
2020-04-21,6.96,9.24
2020-04-22,6.94,9.98
2020-04-23,6.67,17.75
2020-04-24,6.44,18.82
2020-04-25,5.86,17.63
2020-04-26,5.94,15.22
2020-04-27,6.34,19.99
2020-04-28,6.41,18.59
2020-04-29,6.45,10.69
2020-04-30,6.27,7.5
2020-05-01,5.69,4.63
2020-05-02,5.88,11.35
2020-05-03,5.90,14.06
2020-05-04,5.98,16.15
2020-05-05,5.91,18.24
2020-05-06,5.76,22.39
2020-05-07,5.49,20.94
2020-05-08,5.35,20.05
2020-05-09,5.41,18.71
2020-05-10,5.48,12.94
2020-05-11,5.80,15.32
2020-05-12,5.87,24.24
2020-05-13,5.81,25.29
2020-05-14,5.61,24.47
2020-05-15,5.44,20.14
2020-05-16,5.21,16.24
2020-05-17,5.17,15.71
2020-05-18,5.64,26.12
2020-05-19,5.53,26.06
2020-05-20,5.23,26.83
2020-05-21,5.18,28.12
2020-05-22,4.60,29.44
2020-05-23,4.23,18.3
2020-05-24,4.17,11.95
2020-05-25,4.60,23.87
2020-05-26,4.90,22.21
2020-05-27,4.94,25.05
2020-05-28,5.08,29.29
2020-05-29,5.20,33.08
2020-05-30,5.07,29.71
2020-05-31,5.12,29.7
2020-06-01,5.91,34.23
2020-06-02,6.12,34.86
2020-06-03,6.17,32.67
2020-06-04,5.68,24.21
2020-06-05,5.53,27.7
2020-06-06,5.46,28.52
2020-06-07,5.23,19.8
2020-06-08,6.01,27.0
2020-06-09,6.07,29.07
2020-06-10,5.77,30.72
2020-06-11,5.28,23.71
2020-06-12,5.21,20.29
2020-06-13,5.17,21.23
2020-06-14,5.34,26.61
2020-06-15,6.90,31.76
2020-06-16,7.30,31.07
2020-06-17,7.61,34.26
2020-06-18,8.05,35.34
2020-06-19,7.45,33.6
2020-06-20,6.78,31.8
2020-06-21,6.49,25.91
2020-06-22,6.86,30.35
2020-06-23,6.96,34.54
2020-06-24,7.33,37.4
2020-06-25,7.28,39.43
2020-06-26,6.98,37.76
2020-06-27,6.57,30.5
2020-06-28,6.53,29.53
2020-06-29,7.35,37.4
2020-06-30,7.38,37.57
2020-07-01,7.25,37.45
2020-07-02,6.78,34.47
2020-07-03,6.66,34.92
2020-07-04,6.05,28.68
2020-07-05,5.69,25.86
2020-07-06,6.19,28.39
2020-07-07,6.57,35.2
2020-07-08,7.39,37.79
2020-07-09,7.72,39.94
2020-07-10,6.73,37.95
2020-07-11,5.85,29.11
2020-07-12,5.67,28.8
2020-07-13,6.02,33.96
2020-07-14,5.44,33.62
2020-07-15,5.02,31.06
2020-07-16,5.56,34.89
2020-07-17,5.66,32.17
2020-07-18,5.37,30.83
2020-07-19,5.50,30.45
2020-07-20,5.81,35.55
2020-07-21,6.79,36.07
2020-07-22,7.28,40.84
2020-07-23,7.41,42.04
2020-07-24,7.12,36.1
2020-07-25,6.21,33.32
2020-07-26,6.13,29.78
2020-07-27,7.13,38.28
2020-07-28,6.92,35.89
2020-07-29,6.82,37.75
2020-07-30,7.32,40.45
2020-07-31,7.41,42.04
2020-08-01,7.26,33.5
2020-08-02,6.88,28.66
2020-08-03,8.10,36.61
2020-08-04,8.26,35.4
2020-08-05,9.29,36.43
2020-08-06,9.48,37.34
2020-08-07,9.62,38.53
2020-08-08,8.86,36.91
2020-08-09,8.67,34.65
2020-08-10,9.44,38.09
2020-08-11,9.67,38.88
2020-08-12,9.35,39.27
2020-08-13,9.15,40.52
2020-08-14,8.94,36.71
2020-08-15,8.26,31.55
2020-08-16,7.58,29.53
2020-08-17,9.26,36.16
2020-08-18,9.78,38.51
2020-08-19,8.79,34.9
2020-08-20,8.75,34.5
2020-08-21,8.56,33.63
2020-08-22,7.82,32.17
2020-08-23,7.40,29.39
2020-08-24,9.52,38.2
2020-08-25,10.80,39.79
2020-08-26,11.61,39.18
2020-08-27,12.33,45.79
2020-08-28,11.19,39.39
2020-08-29,9.39,30.96
2020-08-30,9.50,33.75
2020-08-31,11.28,41.92
2020-09-01,11.94,45.93
2020-09-02,11.65,44.2
2020-09-03,11.45,46.04
2020-09-04,11.23,43.97
2020-09-05,10.82,35.2
2020-09-06,10.85,31.73
2020-09-07,10.77,39.53
2020-09-08,11.35,41.54
2020-09-09,11.30,46.08
2020-09-10,11.33,45.1
2020-09-11,11.00,46.96
2020-09-12,9.79,40.39
2020-09-13,9.59,35.06
2020-09-14,11.49,43.49
2020-09-15,12.28,48.9
2020-09-16,12.05,50.93
2020-09-17,12.50,47.1
2020-09-18,11.68,43.38
2020-09-19,10.52,39.34
2020-09-20,10.55,39.17
2020-09-21,11.79,49.19
2020-09-22,12.05,50.65
2020-09-23,11.81,44.98
2020-09-24,10.91,39.72
2020-09-25,10.64,26.89
2020-09-26,10.32,29.25
2020-09-27,10.37,24.72
2020-09-28,11.23,41.42
2020-09-29,12.80,48.31
2020-09-30,13.24,49.15
2020-10-01,11.51,41.31
2020-10-02,10.96,24.8
2020-10-03,10.88,19.13
2020-10-04,10.95,14.52
2020-10-05,11.71,34.38
2020-10-06,12.32,41.0
2020-10-07,12.79,42.96
2020-10-08,13.18,43.95
2020-10-09,13.12,43.96
2020-10-10,12.66,32.49
2020-10-11,12.64,27.84
2020-10-12,12.67,38.38
2020-10-13,12.87,40.47
2020-10-14,12.98,36.67
2020-10-15,13.82,39.27
2020-10-16,14.43,43.32
2020-10-17,14.33,42.34
2020-10-18,14.01,40.09
2020-10-19,14.27,35.71
2020-10-20,14.46,36.03
2020-10-21,14.66,36.53
2020-10-22,14.95,44.89
2020-10-23,15.13,45.19
2020-10-24,14.83,32.25
2020-10-25,14.73,14.78
2020-10-26,14.88,34.43
2020-10-27,14.76,39.95
2020-10-28,14.60,43.36
2020-10-29,14.28,44.94
2020-10-30,13.92,41.58
2020-10-31,13.36,35.79
2020-11-01,13.14,30.26
2020-11-02,13.34,40.86
2020-11-03,13.30,39.02
2020-11-04,13.53,38.8
2020-11-05,13.79,33.99
2020-11-06,13.70,34.98
2020-11-07,13.49,33.53
2020-11-08,13.48,34.64
2020-11-09,14.04,45.62
2020-11-10,15.18,50.64
2020-11-11,14.05,43.3
2020-11-12,14.29,45.35
2020-11-13,14.33,44.52
2020-11-14,13.88,38.11
2020-11-15,13.75,24.35
2020-11-16,14.76,42.48
2020-11-17,14.83,44.75
2020-11-18,14.88,42.43
2020-11-19,14.20,39.08
2020-11-20,13.56,41.24
2020-11-21,13.14,40.25
2020-11-22,13.30,42.0
2020-11-23,15.28,50.11
2020-11-24,17.02,46.66
2020-11-25,16.40,47.31
2020-11-26,15.58,48.16
2020-11-27,16.10,52.56
2020-11-28,15.53,48.07
2020-11-29,15.78,45.44
2020-11-30,17.35,51.93
2020-12-01,17.36,50.35
2020-12-02,16.90,49.46
2020-12-03,17.52,49.41
2020-12-04,16.53,43.36
2020-12-05,15.99,45.21
2020-12-06,16.24,39.99
2020-12-07,16.24,38.02
2020-12-08,16.10,27.48
2020-12-09,18.56,47.52
2020-12-10,18.09,43.42
2020-12-11,17.03,37.25
2020-12-12,16.44,36.27
2020-12-13,16.34,43.19
2020-12-14,18.17,46.49
2020-12-15,18.67,48.92
2020-12-16,19.77,49.34
2020-12-17,19.51,56.87
2020-12-18,18.55,49.11
2020-12-19,17.73,44.28
2020-12-20,17.68,43.58
2020-12-21,18.73,46.79
2020-12-22,18.71,46.71
2020-12-23,19.32,46.31
2020-12-24,18.50,39.94
2020-12-25,17.93,16.04
2020-12-26,17.97,32.86
2020-12-27,18.31,27.41
2020-12-28,19.29,20.04
2020-12-29,21.09,38.66
2020-12-30,22.47,49.03
2020-12-31,21.95,48.66
2021-01-01,20.58,42.51
2021-01-02,20.82,48.72
2021-01-03,21.37,46.93
2021-01-04,23.85,59.85
2021-01-05,27.83,67.55
2021-01-06,31.78,70.6
2021-01-07,38.9,88.93
2021-01-08,51.55,94.99
2021-01-09,45.02,80.66
2021-01-10,30,66.27
2021-01-11,32.5,82.45
2021-01-12,30.18,84.25
2021-01-13,31.82,89.94
2021-01-14,29.51,87.25
2021-01-15,27.82,78.42
2021-01-16,27.77,67.72
2021-01-17,25.5,64.51
2021-01-18,28.41,82.08
2021-01-19,27.64,76.47
2021-01-20,25.35,51.66
2021-01-21,23.63,41.64
2021-01-22,22.62,41.97
2021-01-23,23.19,27.5
2021-01-24,23.91,28.73
2021-01-25,24.1,59.42
2021-01-26,22.93,65.98
2021-01-27,21.8,59.77
2021-01-28,19.43,55.39
2021-01-29,21,47.39
2021-01-30,20.37,4.19
2021-01-31,19.33,1.42
2021-02-01,19.45,11.9
2021-02-02,17.81,26.34
2021-02-03,17.85,36.26
2021-02-04,17.47,52.2
2021-02-05,17.65,50.99
2021-02-06,17.5,36.02
2021-02-07,17.49,12.58
2021-02-08,17.98,8.3
2021-02-09,18.68,7.1
2021-02-10,18.17,26.26
2021-02-11,18.3,48
2021-02-12,17.29,36.94
2021-02-13,17.01,36.9
2021-02-14,16.49,13.38
2021-02-15,16.9,14.85
2021-02-16,15.99,23.98
2021-02-17,16.31,41.93
2021-02-18,16.26,36.18
2021-02-19,16.07,22.27
2021-02-20,15.69,2.19
2021-02-21,15.94,5.67
2021-02-22,16.21,39.39
2021-02-23,15.65,43.65
2021-02-24,15.71,24.82
2021-02-25,15.83,45.83
2021-02-26,15.77,46.09
2021-02-27,14.92,29.24
2021-02-28,15.1,18.53
2021-03-01,16.46,42.24
2021-03-02,16.21,52.67
2021-03-03,16.07,53.24
2021-03-04,16.15,55.43
2021-03-05,16.18,52.45
2021-03-06,16.02,45.07
2021-03-07,16.55,47.05
2021-03-08,16.67,54.43
2021-03-09,16.55,56.88
2021-03-10,17.26,55.87
2021-03-11,18.01,40.76
2021-03-12,17.73,40.16
2021-03-13,17.67,27.75
2021-03-14,18,24.54
2021-03-15,19,47.59
2021-03-16,18.02,34.51
2021-03-17,17.11,17.35
2021-03-18,17.21,32.77
2021-03-19,17.51,29.66
2021-03-20,16.55,22.19
2021-03-21,16.32,30.28
2021-03-22,17.64,55.79
2021-03-23,18.48,64.47
2021-03-24,18.51,64.82
2021-03-25,18.36,66.35
2021-03-26,18.37,60.31
2021-03-27,17.95,41.11
2021-03-28,17.68,38.6
2021-03-29,17.99,45.69
2021-03-30,17.88,53.53
2021-03-31,18.1,55.16
2021-04-01,18.72,52.12
2021-04-02,19.11,51
2021-04-03,19.81,35.18
2021-04-04,18.61,27.74
2021-04-05,18.97,44.55
2021-04-06,19.31,55.97
2021-04-07,20.49,66.11
2021-04-08,20.21,69.78
2021-04-09,20.2,71.87
2021-04-10,19.3,65.01
2021-04-11,19.63,52.01
2021-04-12,20.47,63.04
2021-04-13,21,75.5
2021-04-14,21,73.96
2021-04-15,21,68.19
2021-04-16,21.56,68.93
2021-04-17,21.17,64.19
2021-04-18,21.7,64.54
2021-04-19,22.8,79.03
2021-04-20,22.86,78.58
2021-04-21,22.6,79.6
2021-04-22,22.75,74.41
2021-04-23,22,68.56
2021-04-24,20.16,57.31
2021-04-25,20.45,61.09
2021-04-26,22.25,75.99
2021-04-27,22,77.95
2021-04-28,22.94,74.4
2021-04-29,22.88,74.67
2021-04-30,23.42,79.29
2021-05-01,22.87,59.36
2021-05-02,22.99,61.39
2021-05-03,25.25,73.54
2021-05-04,27.04,81.27
2021-05-05,24.71,75.71
2021-05-06,24.34,73.11
2021-05-07,24.75,73.5
2021-05-08,23.86,47.25
2021-05-09,24.15,10.53
2021-05-10,24.18,59.26
2021-05-11,24.4,54.05
2021-05-12,25.33,53.04
2021-05-13,25.25,59.8
2021-05-14,24.53,71.53
2021-05-15,25.33,43.16
2021-05-16,24.96,26.65
2021-05-17,26.51,76.82
2021-05-18,25.69,77.65
2021-05-19,24.73,77.11
2021-05-20,22.81,79.79
2021-05-21,23.49,69.54
2021-05-22,24.6,66.41
2021-05-23,24.96,68.67
2021-05-24,24.4,67.4
2021-05-25,24,76.64
2021-05-26,25.71,80.72
2021-05-27,26.3,86.23
2021-05-28,26.69,88.95
2021-05-29,24.83,81.77
2021-05-30,24.37,71.93
2021-05-31,27.1,88.08
2021-06-01,26.08,86.56
2021-06-02,26.3,84.85
2021-06-03,25.63,79.8
2021-06-04,24.93,80.59
2021-06-05,25.4,76.17
2021-06-06,25.57,68.87
2021-06-07,26.35,79.69
2021-06-08,26.42,82.33
2021-06-09,27.64,81.6
2021-06-10,28.01,83.34
2021-06-11,27.9,82.53
2021-06-12,26.99,77.6
2021-06-13,27,79.2
2021-06-14,28.75,88.47
2021-06-15,29.16,90.95
2021-06-16,28.8,94.63
2021-06-17,29.11,93
2021-06-18,28.98,92.67
2021-06-19,28.52,87.22
2021-06-20,27.94,52.63
2021-06-21,29.81,82.55
2021-06-22,29.41,89.53
2021-06-23,30.41,89.88
2021-06-24,31.36,85.73
2021-06-25,31.26,86.57
2021-06-26,31.1,83.99
2021-06-27,31.92,64.21
2021-06-28,31.85,86.44
2021-06-29,32.05,93.49
2021-06-30,33.33,93.89
2021-07-01,35,92.44
2021-07-02,38.58,99.8
2021-07-03,35.74,94.23
2021-07-04,34,79.43
2021-07-05,37.04,93.85
2021-07-06,36.51,93.57
2021-07-07,35.65,98.72
2021-07-08,35.33,93.67
2021-07-09,34.8,93.5
2021-07-10,35.63,90.48
2021-07-11,36.53,90.77
2021-07-12,37,86.68
2021-07-13,34.95,94.39
2021-07-14,35.09,84.46
2021-07-15,33.8,87.18
2021-07-16,33.8,87.32
2021-07-17,34.25,90.95
2021-07-18,35.2,74.19
2021-07-19,36.23,98.8
2021-07-20,37.57,101.82
2021-07-21,37.48,106.57
2021-07-22,37.28,101.52
2021-07-23,36.88,95.89
2021-07-24,34.87,92.02
2021-07-25,35.92,93.2
2021-07-26,38.85,99.52
2021-07-27,37.96,99.05
2021-07-28,37.84,95.57
2021-07-29,39.12,98.83
2021-07-30,40.4,95.37
2021-07-31,39.62,61.09
2021-08-01,39.4,76.89
2021-08-02,41.27,103.07
2021-08-03,41.77,106.27
2021-08-04,41.77,105.24
2021-08-05,41.76,101.6
2021-08-06,42.31,97.22
2021-08-07,42.17,65.64
2021-08-08,43.75,85.29
2021-08-09,43.3,106.74
2021-08-10,42.79,111.88
2021-08-11,44.54,113.99
2021-08-12,46.37,115.83
2021-08-13,46.08,117.29
2021-08-14,45.03,114.63
2021-08-15,47.84,110.02
2021-08-16,45.45,88.92
2021-08-17,47.63,89.5
2021-08-18,47.08,105.4
2021-08-19,44.75,113.4
2021-08-20,42.09,117.14
2021-08-21,42.47,110.14
2021-08-22,41.37,100.51
2021-08-23,41.88,99.76
2021-08-24,42,102.06
2021-08-25,44.78,116.73
2021-08-26,47.18,122.76
2021-08-27,47.19,118.99
2021-08-28,46,110.22
2021-08-29,46.13,102.03
2021-08-30,50.2,124.45
2021-08-31,51.17,130.53
2021-09-1,51.98,132.47
2021-09-2,52.33,140.23
2021-09-3,53.18,137.7
2021-09-4,52.11,134.89
2021-09-5,51.11,128.7
2021-09-6,53.1,132.65
2021-09-7,53.77,127.36
2021-09-8,54.82,135.65
2021-09-9,57.98,141.71
2021-09-10,59.32,152.32
2021-09-11,58.79,150.78
2021-09-12,60,144.18
2021-09-13,61.45,154.16
2021-09-14,63.72,153.43
2021-09-15,69.25,172.78
2021-09-16,69.58,188.18
2021-09-17,64.35,166.29
2021-09-18,65.5,159.37
2021-09-19,64.1,146.57
2021-09-20,63.6,156.75
2021-09-21,71.51,150.26
2021-09-22,73.15,175.87
2021-09-23,70.78,165.19
2021-09-24,69.53,172.97
2021-09-25,67.6,166.36
2021-09-26,72.82,160.42
2021-09-27,72.31,174.68
2021-09-28,76.95,182.71
2021-09-29,78.99,189.9
2021-09-30,82.75,189.83
2021-10-01,92.69,216.01
2021-10-02,88.5,173.65
2021-10-03,74.81,111.6
2021-10-04,77.7,186.46
2021-10-05,91.25,203.68
2021-10-06,113.77,228.59
2021-10-07,111.6,288.53
2021-10-08,98.47,229.2
2021-10-09,80.06,226.21
2021-10-10,87.4,175.91
2021-10-11,86,184.48
2021-10-12,83.02,184.29
2021-10-13,84.07,185.74
2021-10-14,92.65,215.63
2021-10-15,98.52,231.82
2021-10-16,89.95,226.93
2021-10-17,90.01,209.63
2021-10-18,94.49,227.45
2021-10-19,85.66,207.14
2021-10-20,86.76,201.4
2021-10-21,90.21,207.92
2021-10-22,88.24,203.54
2021-10-23,88.4,211.21
2021-10-24,91.75,213.29
2021-10-25,95.1,225.36
2021-10-26,91.01,215.83
2021-10-27,89.31,226.15
2021-10-28,84.65,205.05
2021-10-29,73.75,175.83
2021-10-30,60.32,124.53
2021-10-31,62.86,79
2021-11-01,60.25,91.2
2021-11-02,63.7,145.95
2021-11-03,69.25,154.29
2021-11-04,76.84,171.91
2021-11-05,71.65,171.45
2021-11-06,70.51,157.53
2021-11-07,71.57,131.5
2021-11-08,73.47,167.67
2021-11-09,77.74,178.45
2021-11-10,71,199.28
2021-11-11,72.96,183.21
2021-11-12,77.73,185.02
2021-11-13,76.9,180.48
2021-11-14,79,172.47
2021-11-15,79.25,180.88
2021-11-16,81.76,194.23
2021-11-17,93.64,194.84
2021-11-18,95.1,226.94
2021-11-19,96.06,228.84
2021-11-20,93.42,218.46
2021-11-21,95.7,229.62
2021-11-22,92.89,236.51
2021-11-23,87.39,225.58
2021-11-24,93.9,225.7
2021-11-25,97.83,228.42
2021-11-26,95.16,227.59
2021-11-27,91.42,204.35
2021-11-28,93.89,201.42
2021-11-29,95.24,215
2021-11-30,98.26,274.56
2021-12-01,95.5,247.21
2021-12-02,98.12,220.66
2021-12-03,96.07,226.15
2021-12-04,92.7,220.9
2021-12-05,89.77,101.97
2021-12-06,90.21,209.78
2021-12-07,91,211.81
2021-12-08,95.49,108.73
2021-12-09,103.98,216.74
2021-12-10,101.08,208.41
2021-12-11,107.04,239.53
2021-12-12,109.06,256.98
2021-12-13,113.24,268.21
2021-12-14,118.21,287.78
2021-12-15,129.5,291.73
2021-12-16,125.08,302.48
2021-12-17,138.68,309.2
2021-12-18,136.67,306.33
2021-12-19,146.5,319.63
2021-12-20,162.27,339.84
2021-12-21,148.44,327.38
2021-12-22,183,360.02
2021-12-23,171.25,383.67
2021-12-24,126.78,311.02
2021-12-25,100.97,226.42
2021-12-26,67.38,188.53
2021-12-27,81.05,96.08
2021-12-28,98.5,104.36
2021-12-29,94,181.09
2021-12-30,90,200.68
2021-12-31,76.81,140.82
2022-01-01,62.44,122.63
2022-01-02,48.56,136.97
2022-01-03,60.5,150.5
2022-01-04,78.2,152.47
2022-01-05,85.87,180.99
2022-01-06,92.8,212.98
2022-01-07,94.96,215.86
2022-01-08,84.93,203.45
2022-01-09,83.67,119.83
2022-01-10,90,217.26
2022-01-11,83.4,223.16
2022-01-12,81,206.07
2022-01-13,74.94,215.11
2022-01-14,83.47,202.95
2022-01-15,86,218.82
2022-01-16,89.76,213.1
2022-01-17,94.99,244.67
2022-01-18,78.5,222.73
2022-01-19,80.5,213.16
2022-01-20,74.4,190.64
2022-01-21,76,179.09
2022-01-22,79,190.41
2022-01-23,79.99,201.34
2022-01-24,87,227
2022-01-25,90.4,224.24
2022-01-26,91.52,236.77
2022-01-27,90.83,232.5
2022-01-28,90.97,224.59
2022-01-29,91.99,223.36
2022-01-30,93.12,230.5
2022-01-31,92.74,221.82
2022-02-01,82.29,206.54
2022-02-02,76.02,210.18
2022-02-03,79.25,207.89
2022-02-04,78.66,197.03
2022-02-05,80.7,198.37
2022-02-06,79.24,190.47
2022-02-07,81.58,206.46
2022-02-08,78.57,203.7
2022-02-09,79.11,210.52
